Time: 674, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 1286, Behaviour: 2, Fault: 6, n/a, 3 , DIAGNOSED ,
Time: 2456, Behaviour: 2, Fault: 4, n/a, 4 , DIAGNOSED ,
Time: 3172, Behaviour: 2, Fault: 2, n/a, 2 , DIAGNOSED ,
Time: 4000, Behaviour: 2, Fault: 1, 100, 1 , CLASSIFIED ,
Time: 4869, Behaviour: 2, Fault: 4, 81.6945, 4 , CLASSIFIED ,
Time: 6105, Behaviour: 1, Fault: 5, n/a, 5 , DIAGNOSED ,
Time: 6913, Behaviour: 1, Fault: 5, 97.1897, 5 , CLASSIFIED ,
Time: 7518, Behaviour: 1, Fault: 5, 99.1668, 5 , CLASSIFIED ,
Time: 8403, Behaviour: 1, Fault: 6, 74.1599, 3 , CLASSIFIED ,
Time: 9007, Behaviour: 1, Fault: 4, 88.0098, 5 , CLASSIFIED ,
Time: 9610, Behaviour: 1, Fault: 4, 99.5001, 5 , CLASSIFIED ,
Time: 11417, Behaviour: 1, Fault: 4, 87.8675, 4 , CLASSIFIED ,
Time: 12021, Behaviour: 1, Fault: 5, 99.3339, 5 , CLASSIFIED ,
Time: 12624, Behaviour: 1, Fault: 5, 99.5001, 5 , CLASSIFIED ,
Time: 13225, Behaviour: 1, Fault: 3, 99.1477, 3 , CLASSIFIED ,
Time: 13975, Behaviour: 1, Fault: 5, 99.8335, 5 , CLASSIFIED ,
Time: 14732, Behaviour: 1, Fault: 5, 98.3352, 5 , CLASSIFIED ,
Time: 15333, Behaviour: 3, Fault: 3, 93.7353, 3 , CLASSIFIED ,
Time: 15936, Behaviour: 3, Fault: 3, 99.486, 3 , CLASSIFIED ,
Time: 16539, Behaviour: 3, Fault: 3, 99.6581, 3 , CLASSIFIED ,
Time: 17428, Behaviour: 3, Fault: 1, 100, 1 , CLASSIFIED ,
Time: 18460, Behaviour: 3, Fault: 6, n/a, 3 , DIAGNOSED ,
Time: 19880, Behaviour: 3, Fault: 4, 91.4496, 4 , CLASSIFIED ,
Time: 20481, Behaviour: 3, Fault: 3, 81.4674, 3 , CLASSIFIED ,
Time: 25853, Behaviour: 1, Fault: 6, 81.8446, 3 , CLASSIFIED ,
Time: 26477, Behaviour: 1, Fault: 4, 99.0006, 5 , CLASSIFIED ,
Time: 27339, Behaviour: 1, Fault: 2, n/a, 2 , DIAGNOSED ,
Time: 28146, Behaviour: 1, Fault: 6, 99.486, 3 , CLASSIFIED ,
Time: 28841, Behaviour: 1, Fault: 3, 100, 3 , CLASSIFIED ,
Time: 29886, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 32992, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 33633, Behaviour: 2, Fault: 6, 82.2181, 3 , CLASSIFIED ,
Time: 34235, Behaviour: 2, Fault: 2, 67.42, 2 , CLASSIFIED ,
