Time: 6028, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 6640, Behaviour: 1, Fault: 3, n/a, 3 , DIAGNOSED ,
Time: 7273, Behaviour: 1, Fault: 2, n/a, 2 , DIAGNOSED ,
Time: 8297, Behaviour: 1, Fault: 5, n/a, 5 , DIAGNOSED ,
Time: 9136, Behaviour: 1, Fault: 6, 84.2062, 3 , CLASSIFIED ,
Time: 9738, Behaviour: 1, Fault: 3, 94.0671, 3 , CLASSIFIED ,
Time: 10510, Behaviour: 1, Fault: 2, 80.386, 2 , CLASSIFIED ,
Time: 11258, Behaviour: 1, Fault: 6, 100, 3 , CLASSIFIED ,
Time: 12724, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 13336, Behaviour: 1, Fault: 2, 98.9247, 2 , CLASSIFIED ,
Time: 14076, Behaviour: 1, Fault: 5, 95.0263, 5 , CLASSIFIED ,
Time: 15012, Behaviour: 3, Fault: 6, 100, 100, 3 , CLASSIFIED ,
Time: 15614, Behaviour: 3, Fault: 2, 84.1306, 2 , CLASSIFIED ,
Time: 16216, Behaviour: 3, Fault: 3, 100, 100, 100, 3 , CLASSIFIED ,
Time: 16818, Behaviour: 3, Fault: 6, 98.4673, 98.4673, 98.4673, 98.4673, 3 , CLASSIFIED ,
Time: 18304, Behaviour: 3, Fault: 4, n/a, 4 , DIAGNOSED ,
Time: 20639, Behaviour: 3, Fault: 6, n/a, 3 , DIAGNOSED ,
Time: 21252, Behaviour: 3, Fault: 3, 100, 100, 100, 100, 3 , CLASSIFIED ,
Time: 21854, Behaviour: 3, Fault: 3, 90.7251, 3 , CLASSIFIED ,
Time: 25325, Behaviour: 1, Fault: 6, 96.9645, 96.9645, 96.9645, 96.9645, 96.9645, 3 , CLASSIFIED ,
Time: 25989, Behaviour: 1, Fault: 4, 99.0022, 5 , CLASSIFIED ,
Time: 26668, Behaviour: 1, Fault: 2, 100, 2 , CLASSIFIED ,
Time: 27270, Behaviour: 1, Fault: 2, 90.4534, 90.4534, 2 , CLASSIFIED ,
Time: 27874, Behaviour: 1, Fault: 4, 68.8495, 4 , CLASSIFIED ,
Time: 29165, Behaviour: 1, Fault: 1, 100, 1 , CLASSIFIED ,
Time: 29805, Behaviour: 1, Fault: 4, 99.3333, 5 , CLASSIFIED ,
Time: 30406, Behaviour: 2, Fault: 3, 96.3871, 3 , CLASSIFIED ,
Time: 31433, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 32059, Behaviour: 2, Fault: 2, 96.251, 2 , CLASSIFIED ,
Time: 32661, Behaviour: 2, Fault: 2, 91.7407, 2 , CLASSIFIED ,
Time: 35436, Behaviour: 3, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 36048, Behaviour: 3, Fault: 3, 98.6409, 98.6409, 3 , CLASSIFIED ,
Time: 39397, Behaviour: 3, Fault: 6, 68.3367, 3 , CLASSIFIED ,
Time: 40874, Behaviour: 1, Fault: 1, 99.5565, 1 , CLASSIFIED ,
Time: 41478, Behaviour: 1, Fault: 4, 99.8335, 5 , CLASSIFIED ,
