Time: 1164, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 1778, Behaviour: 2, Fault: 4, n/a, 4 , DIAGNOSED ,
Time: 3174, Behaviour: 2, Fault: 6, n/a, 3 , DIAGNOSED ,
Time: 3891, Behaviour: 2, Fault: 6, 99.6634, 3 , CLASSIFIED ,
Time: 4933, Behaviour: 2, Fault: 1, 99.5565, 1 , CLASSIFIED ,
Time: 5537, Behaviour: 1, Fault: 5, n/a, 5 , DIAGNOSED ,
Time: 6666, Behaviour: 1, Fault: 6, 87.7191, 3 , CLASSIFIED ,
Time: 7270, Behaviour: 1, Fault: 4, 99.8335, 5 , CLASSIFIED ,
Time: 10815, Behaviour: 1, Fault: 5, 99.6672, 5 , CLASSIFIED ,
Time: 11418, Behaviour: 1, Fault: 4, 99.8335, 5 , CLASSIFIED ,
Time: 12199, Behaviour: 1, Fault: 5, 99.5001, 5 , CLASSIFIED ,
Time: 12864, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 14131, Behaviour: 1, Fault: 6, 74.5022, 3 , CLASSIFIED ,
Time: 14950, Behaviour: 1, Fault: 4, 99.8335, 5 , CLASSIFIED ,
Time: 15807, Behaviour: 3, Fault: 1, 87.506, 1 , CLASSIFIED ,
Time: 16409, Behaviour: 3, Fault: 3, 98.1307, 3 , CLASSIFIED ,
Time: 17011, Behaviour: 3, Fault: 3, 82.3221, 3 , CLASSIFIED ,
Time: 17721, Behaviour: 3, Fault: 6, 90.1115, 3 , CLASSIFIED ,
Time: 18323, Behaviour: 3, Fault: 3, 93.8342, 3 , CLASSIFIED ,
Time: 18964, Behaviour: 3, Fault: 1, 79.7669, 1 , CLASSIFIED ,
Time: 19630, Behaviour: 3, Fault: 2, n/a, 2 , DIAGNOSED ,
Time: 21661, Behaviour: 3, Fault: 6, 93.3734, 3 , CLASSIFIED ,
Time: 22263, Behaviour: 3, Fault: 3, 94.6686, 3 , CLASSIFIED ,
Time: 22931, Behaviour: 3, Fault: 1, 94.5471, 1 , CLASSIFIED ,
Time: 26488, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 27344, Behaviour: 1, Fault: 1, 71.3062, FAILURE 3, n/a, 1 , DIAGNOSED ,
Time: 28070, Behaviour: 1, Fault: 5, 97.8564, 97.8564, 5 , CLASSIFIED ,
Time: 28774, Behaviour: 1, Fault: 4, n/a, 4 , DIAGNOSED ,
Time: 29682, Behaviour: 1, Fault: 6, 100, 3 , CLASSIFIED ,
Time: 30328, Behaviour: 2, Fault: 1, 92.8962, 1 , CLASSIFIED ,
