Time: 615, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 1504, Behaviour: 2, Fault: 4, n/a, 4 , DIAGNOSED ,
Time: 2220, Behaviour: 2, Fault: 3, n/a, 3 , DIAGNOSED ,
Time: 2834, Behaviour: 2, Fault: 3, 75.0616, 3 , CLASSIFIED ,
Time: 3930, Behaviour: 2, Fault: 6, n/a, 3 , DIAGNOSED ,
Time: 4684, Behaviour: 2, Fault: 6, 92.2345, 3 , CLASSIFIED ,
Time: 5286, Behaviour: 1, Fault: 5, n/a, 5 , DIAGNOSED ,
Time: 6124, Behaviour: 1, Fault: 4, 98.0137, 5 , CLASSIFIED ,
Time: 6754, Behaviour: 1, Fault: 2, n/a, 2 , DIAGNOSED ,
Time: 8045, Behaviour: 1, Fault: 1, 96.0757, 1 , CLASSIFIED ,
Time: 8854, Behaviour: 1, Fault: 6, 93.0563, 3 , CLASSIFIED ,
Time: 10015, Behaviour: 1, Fault: 6, 99.4875, 3 , CLASSIFIED ,
Time: 10716, Behaviour: 1, Fault: 4, 99.1668, 5 , CLASSIFIED ,
Time: 11618, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 12233, Behaviour: 1, Fault: 4, 99.8335, 5 , CLASSIFIED ,
Time: 12962, Behaviour: 1, Fault: 4, 100, 5 , CLASSIFIED ,
Time: 13565, Behaviour: 1, Fault: 4, 98.8332, 5 , CLASSIFIED ,
Time: 14166, Behaviour: 1, Fault: 3, 100, 3 , CLASSIFIED ,
Time: 14830, Behaviour: 1, Fault: 6, 84.2486, 84.2486, 3 , CLASSIFIED ,
Time: 15634, Behaviour: 3, Fault: 1, 94.1413, 1 , CLASSIFIED ,
Time: 16567, Behaviour: 3, Fault: 6, 87.8574, 3 , CLASSIFIED ,
Time: 17517, Behaviour: 3, Fault: 1, 94.8831, 1 , CLASSIFIED ,
Time: 19312, Behaviour: 3, Fault: 4, n/a, 4 , DIAGNOSED ,
Time: 21115, Behaviour: 3, Fault: 6, 93.6773, 3 , CLASSIFIED ,
Time: 21756, Behaviour: 3, Fault: 4, 79.2351, 4 , CLASSIFIED ,
Time: 22357, Behaviour: 3, Fault: 2, 83.3017, 2 , CLASSIFIED ,
Time: 24272, Behaviour: 3, Fault: 6, 70.8692, FAILURE 4, n/a, 6 , DIAGNOSED ,
Time: 25347, Behaviour: 1, Fault: 3, 96.2286, 96.2286, 3 , CLASSIFIED ,
Time: 25949, Behaviour: 1, Fault: 3, 100, 100, 3 , CLASSIFIED ,
Time: 26554, Behaviour: 1, Fault: 5, 99.8335, 99.8335, 5 , CLASSIFIED ,
Time: 27892, Behaviour: 1, Fault: 1, 91.8323, 1 , CLASSIFIED ,
Time: 28494, Behaviour: 1, Fault: 2, 84.2072, 2 , CLASSIFIED ,
Time: 29179, Behaviour: 1, Fault: 4, 99.6252, 4 , CLASSIFIED ,
Time: 29850, Behaviour: 1, Fault: 5, 99.8335, 5 , CLASSIFIED ,
Time: 31288, Behaviour: 2, Fault: 4, 91.0447, 4 , CLASSIFIED ,
Time: 31889, Behaviour: 2, Fault: 2, 84.8995, 2 , CLASSIFIED ,
Time: 32934, Behaviour: 2, Fault: 4, 96.8942, 4 , CLASSIFIED ,
Time: 33643, Behaviour: 2, Fault: 4, 95.1892, 4 , CLASSIFIED ,
Time: 34245, Behaviour: 2, Fault: 2, 80.5164, 2 , CLASSIFIED ,
Time: 35185, Behaviour: 3, Fault: 6, 94.6794, 3 , CLASSIFIED ,
Time: 35991, Behaviour: 3, Fault: 6, 88.6761, 3 , CLASSIFIED ,
