Time: 14271, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 14943, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 15827, Behaviour: 3, Fault: 4, n/a, 4 , DIAGNOSED ,
Time: 17088, Behaviour: 3, Fault: 1, 74.7285, 1 , CLASSIFIED ,
Time: 17710, Behaviour: 3, Fault: 4, 82.9629, 4 , CLASSIFIED ,
Time: 18311, Behaviour: 3, Fault: 3, n/a, 3 , DIAGNOSED ,
Time: 18926, Behaviour: 3, Fault: 3, 85.1692, 3 , CLASSIFIED ,
Time: 20844, Behaviour: 3, Fault: 6, 92.1415, 3 , CLASSIFIED ,
Time: 21448, Behaviour: 3, Fault: 4, 77.4784, 4 , CLASSIFIED ,
Time: 22817, Behaviour: 3, Fault: 6, 91.5498, 3 , CLASSIFIED ,
Time: 23419, Behaviour: 3, Fault: 3, 96.9645, 3 , CLASSIFIED ,
Time: 24021, Behaviour: 3, Fault: 3, 96.6714, 3 , CLASSIFIED ,
Time: 24623, Behaviour: 3, Fault: 3, 90.1748, 3 , CLASSIFIED ,
Time: 25225, Behaviour: 1, Fault: 6, 100, 3 , CLASSIFIED ,
Time: 26061, Behaviour: 1, Fault: 3, 83.666, 83.666, 3 , CLASSIFIED ,
Time: 26663, Behaviour: 1, Fault: 2, n/a, 2 , DIAGNOSED ,
Time: 27274, Behaviour: 1, Fault: 2, 95.4666, 2 , CLASSIFIED ,
Time: 27877, Behaviour: 1, Fault: 3, 98.1375, 98.1375, 3 , CLASSIFIED ,
Time: 28766, Behaviour: 1, Fault: 6, 100, 100, 3 , CLASSIFIED ,
Time: 29371, Behaviour: 1, Fault: 4, 70.7107, FAILURE 3, n/a, 4 , DIAGNOSED ,
Time: 30228, Behaviour: 2, Fault: 4, 99.438, 4 , CLASSIFIED ,
Time: 30845, Behaviour: 2, Fault: 4, 91.9397, 4 , CLASSIFIED ,
Time: 31446, Behaviour: 2, Fault: 3, 98.98, 3 , CLASSIFIED ,
Time: 32097, Behaviour: 2, Fault: 4, 96.1862, 4 , CLASSIFIED ,
Time: 32715, Behaviour: 2, Fault: 6, 68.3138, 3 , CLASSIFIED ,
Time: 33993, Behaviour: 2, Fault: 4, 81.8769, 4 , CLASSIFIED ,
Time: 34594, Behaviour: 2, Fault: 3, 95.3467, 3 , CLASSIFIED ,
Time: 35352, Behaviour: 3, Fault: 4, 94.3441, 4 , CLASSIFIED ,
Time: 35954, Behaviour: 3, Fault: 3, 96.6484, 3 , CLASSIFIED ,
