Time: 600, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 1710, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 2461, Behaviour: 2, Fault: 6, n/a, 3 , DIAGNOSED ,
Time: 3563, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 4176, Behaviour: 2, Fault: 2, n/a, 2 , DIAGNOSED ,
Time: 4795, Behaviour: 2, Fault: 3, 67.057, 3 , CLASSIFIED ,
Time: 5717, Behaviour: 1, Fault: 1, 67.6816, 1 , CLASSIFIED ,
Time: 6342, Behaviour: 1, Fault: 5, n/a, 5 , DIAGNOSED ,
Time: 7535, Behaviour: 1, Fault: 1, 100, 1 , CLASSIFIED ,
Time: 8313, Behaviour: 1, Fault: 6, 88.8113, 3 , CLASSIFIED ,
Time: 10664, Behaviour: 1, Fault: 1, 100, 100, 1 , CLASSIFIED ,
Time: 11266, Behaviour: 1, Fault: 3, 89.7101, 3 , CLASSIFIED ,
Time: 12049, Behaviour: 1, Fault: 5, 97.0005, 5 , CLASSIFIED ,
Time: 12802, Behaviour: 1, Fault: 4, 99.1679, 5 , CLASSIFIED ,
Time: 13405, Behaviour: 1, Fault: 5, 99.3333, 5 , CLASSIFIED ,
Time: 14054, Behaviour: 1, Fault: 6, 100, 3 , CLASSIFIED ,
Time: 14656, Behaviour: 1, Fault: 3, 100, 100, 3 , CLASSIFIED ,
Time: 15258, Behaviour: 3, Fault: 2, 73.9119, 2 , CLASSIFIED ,
Time: 15860, Behaviour: 3, Fault: 2, 98.4263, 2 , CLASSIFIED ,
Time: 17328, Behaviour: 3, Fault: 1, 89.0739, 1 , CLASSIFIED ,
Time: 17930, Behaviour: 3, Fault: 3, 94.4678, 3 , CLASSIFIED ,
Time: 19072, Behaviour: 3, Fault: 4, n/a, 4 , DIAGNOSED ,
Time: 19825, Behaviour: 3, Fault: 3, 96.5012, 3 , CLASSIFIED ,
Time: 20428, Behaviour: 3, Fault: 2, 68.4511, 2 , CLASSIFIED ,
Time: 21031, Behaviour: 3, Fault: 3, 81.6937, 81.6937, 81.6937, 3 , CLASSIFIED ,
Time: 22867, Behaviour: 3, Fault: 6, 70.0219, 70.0219, 70.0219, 3 , CLASSIFIED ,
Time: 23469, Behaviour: 3, Fault: 2, 87.9995, 2 , CLASSIFIED ,
Time: 24112, Behaviour: 3, Fault: 1, 91.0725, 1 , CLASSIFIED ,
Time: 25099, Behaviour: 1, Fault: 6, 90.6637, 3 , CLASSIFIED ,
Time: 25853, Behaviour: 1, Fault: 5, 98.0137, 5 , CLASSIFIED ,
Time: 26608, Behaviour: 1, Fault: 3, 91.125, 3 , CLASSIFIED ,
Time: 27210, Behaviour: 1, Fault: 2, 100, 2 , CLASSIFIED ,
Time: 27815, Behaviour: 1, Fault: 5, 99.1668, 5 , CLASSIFIED ,
Time: 28416, Behaviour: 1, Fault: 2, 100, 100, 2 , CLASSIFIED ,
Time: 29145, Behaviour: 1, Fault: 2, 98.9247, 98.9247, 98.9247, 2 , CLASSIFIED ,
Time: 29832, Behaviour: 1, Fault: 4, 99.5012, 5 , CLASSIFIED ,
Time: 30433, Behaviour: 2, Fault: 2, 86.7546, 2 , CLASSIFIED ,
Time: 31049, Behaviour: 2, Fault: 6, n/a, 3 , DIAGNOSED ,
Time: 34619, Behaviour: 2, Fault: 1, 90.1553, 1 , CLASSIFIED ,
