Time: 1454, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 2072, Behaviour: 2, Fault: 6, n/a, 3 , DIAGNOSED ,
Time: 2685, Behaviour: 2, Fault: 2, n/a, 2 , DIAGNOSED ,
Time: 3296, Behaviour: 2, Fault: 2, 76.0829, 2 , CLASSIFIED ,
Time: 3907, Behaviour: 2, Fault: 4, n/a, 4 , DIAGNOSED ,
Time: 6631, Behaviour: 1, Fault: 4, n/a, 4 , DIAGNOSED ,
Time: 7376, Behaviour: 1, Fault: 1, 99.7783, 1 , CLASSIFIED ,
Time: 8052, Behaviour: 1, Fault: 6, 71.5264, 3 , CLASSIFIED ,
Time: 9350, Behaviour: 1, Fault: 6, 72.0485, 3 , CLASSIFIED ,
Time: 9970, Behaviour: 1, Fault: 6, 91.7022, 3 , CLASSIFIED ,
Time: 10586, Behaviour: 1, Fault: 1, 100, 1 , CLASSIFIED ,
Time: 11318, Behaviour: 1, Fault: 5, 99.6672, 4 , CLASSIFIED ,
Time: 12078, Behaviour: 1, Fault: 6, 97.4663, 3 , CLASSIFIED ,
Time: 12680, Behaviour: 1, Fault: 3, 100, 3 , CLASSIFIED ,
Time: 13839, Behaviour: 1, Fault: 6, 100, 100, 3 , CLASSIFIED ,
Time: 16639, Behaviour: 3, Fault: 6, 95.4525, 3 , CLASSIFIED ,
Time: 18328, Behaviour: 3, Fault: 6, n/a, 3 , DIAGNOSED ,
Time: 21670, Behaviour: 3, Fault: 6, 92.7476, 3 , CLASSIFIED ,
Time: 22291, Behaviour: 3, Fault: 1, 99.7783, 99.7783, 1 , CLASSIFIED ,
Time: 22913, Behaviour: 3, Fault: 4, 81.9237, 4 , CLASSIFIED ,
Time: 23514, Behaviour: 3, Fault: 3, 86.2644, 86.2644, 86.2644, 3 , CLASSIFIED ,
Time: 24116, Behaviour: 3, Fault: 3, 96.6345, 96.6345, 96.6345, 3 , CLASSIFIED ,
Time: 24718, Behaviour: 3, Fault: 2, n/a, 2 , DIAGNOSED ,
Time: 25344, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 26354, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 26966, Behaviour: 1, Fault: 2, 76.1561, 2 , CLASSIFIED ,
Time: 27568, Behaviour: 1, Fault: 2, 96.9166, 2 , CLASSIFIED ,
Time: 28619, Behaviour: 1, Fault: 1, 75.7675, 1 , CLASSIFIED ,
Time: 29649, Behaviour: 1, Fault: 1, 90.4534, 1 , CLASSIFIED ,
Time: 30561, Behaviour: 2, Fault: 4, 82.2726, 4 , CLASSIFIED ,
Time: 31215, Behaviour: 2, Fault: 6, 92.054, 3 , CLASSIFIED ,
Time: 32031, Behaviour: 2, Fault: 4, 95.4105, 4 , CLASSIFIED ,
