Time: 6043, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 7076, Behaviour: 1, Fault: 4, n/a, 4 , DIAGNOSED ,
Time: 7794, Behaviour: 1, Fault: 4, 99.8335, 4 , CLASSIFIED ,
Time: 8398, Behaviour: 1, Fault: 4, 99.8335, 4 , CLASSIFIED ,
Time: 8999, Behaviour: 1, Fault: 3, n/a, 3 , DIAGNOSED ,
Time: 14410, Behaviour: 1, Fault: 4, n/a, 4 , DIAGNOSED ,
Time: 15172, Behaviour: 3, Fault: 2, n/a, 2 , DIAGNOSED ,
Time: 16890, Behaviour: 3, Fault: 6, n/a, 6 , DIAGNOSED ,
Time: 18200, Behaviour: 3, Fault: 3, 100, 3 , CLASSIFIED ,
Time: 18828, Behaviour: 3, Fault: 6, 86.4412, 6 , CLASSIFIED ,
Time: 19469, Behaviour: 3, Fault: 2, 75.2233, 2 , CLASSIFIED ,
Time: 20071, Behaviour: 3, Fault: 3, 99.1449, 99.1449, 3 , CLASSIFIED ,
Time: 20673, Behaviour: 3, Fault: 2, 88.4902, 2 , CLASSIFIED ,
Time: 21278, Behaviour: 3, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 22514, Behaviour: 3, Fault: 6, 99.6581, 3 , CLASSIFIED ,
Time: 25081, Behaviour: 1, Fault: 6, n/a, 3 , DIAGNOSED ,
Time: 25944, Behaviour: 1, Fault: 3, 83.666, 83.666, 3 , CLASSIFIED ,
Time: 27161, Behaviour: 1, Fault: 6, 94.1569, 3 , CLASSIFIED ,
Time: 27764, Behaviour: 1, Fault: 3, 96.485, 3 , CLASSIFIED ,
Time: 28438, Behaviour: 1, Fault: 6, 81.4864, 3 , CLASSIFIED ,
Time: 30014, Behaviour: 2, Fault: 6, 71.7557, 6 , CLASSIFIED ,
Time: 30683, Behaviour: 2, Fault: 6, 89.5352, 3 , CLASSIFIED ,
Time: 31758, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 32370, Behaviour: 2, Fault: 3, 84.3395, 3 , CLASSIFIED ,
Time: 32974, Behaviour: 2, Fault: 4, n/a, 4 , DIAGNOSED ,
Time: 33690, Behaviour: 2, Fault: 2, 73.9534, 2 , CLASSIFIED ,
Time: 35317, Behaviour: 3, Fault: 1, 99.7783, 1 , CLASSIFIED ,
