Time: 13983, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 14601, Behaviour: 1, Fault: 3, n/a, 3 , DIAGNOSED ,
Time: 15303, Behaviour: 3, Fault: 6, 91.7365, 3 , CLASSIFIED ,
Time: 16010, Behaviour: 3, Fault: 4, n/a, 4 , DIAGNOSED ,
Time: 16727, Behaviour: 3, Fault: 3, 100, 3 , CLASSIFIED ,
Time: 18820, Behaviour: 3, Fault: 6, 94.9881, 94.9881, 3 , CLASSIFIED ,
Time: 19532, Behaviour: 3, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 20555, Behaviour: 3, Fault: 1, 69.8607, 1 , CLASSIFIED ,
Time: 22583, Behaviour: 3, Fault: 6, n/a, 3 , DIAGNOSED ,
Time: 23196, Behaviour: 3, Fault: 3, 100, 100, 3 , CLASSIFIED ,
Time: 23798, Behaviour: 3, Fault: 3, 87.0417, 87.0417, 87.0417, 3 , CLASSIFIED ,
Time: 24595, Behaviour: 3, Fault: 4, 76.0478, 4 , CLASSIFIED ,
Time: 25435, Behaviour: 1, Fault: 5, 66.133, FAILURE 3, n/a, 5 , DIAGNOSED ,
Time: 26938, Behaviour: 1, Fault: 2, n/a, 2 , DIAGNOSED ,
Time: 28271, Behaviour: 1, Fault: 1, 95.9397, 1 , CLASSIFIED ,
Time: 30485, Behaviour: 2, Fault: 6, n/a, 3 , DIAGNOSED ,
Time: 31098, Behaviour: 2, Fault: 3, 78.026, 3 , CLASSIFIED ,
